W_REGN,W_PROV,SEQ_NO,FSIZE,TOINC,COFFEE,COCOA,FOOD_OUTSIDE,TOTEX
13,74,110977,2.0,298967.0,5110.0,0.0,41600.0,213261.0
13,74,110978,5.5,798530.0,4368.0,270.0,33000.0,759995.0
13,74,110979,5.0,249785.0,5338.0,540.0,36660.0,188568.0
13,74,110980,5.0,539380.0,684.0,1260.0,38260.0,326688.0
13,74,110981,5.0,244385.0,6524.0,0.0,32450.0,190991.0
13,74,110982,5.0,195250.0,5551.0,0.0,22300.0,188956.0
13,74,110983,4.0,286820.0,4120.0,150.0,37320.0,244619.0
13,74,110984,3.5,519868.0,4094.0,0.0,28330.0,251607.0
13,74,110985,4.5,692602.0,5848.0,0.0,13000.0,332234.0
13,74,110986,3.0,429300.0,2984.0,210.0,17680.0,231340.0
13,74,110987,6.0,602759.0,13650.0,297.0,62880.0,439667.0
13,74,110988,3.5,270080.0,5614.0,0.0,15700.0,177611.0
13,74,110989,3.0,385852.0,4718.0,0.0,23800.0,215928.0
13,74,110990,4.0,310847.0,5224.0,150.0,72800.0,242528.0
